order_id,customer_id,product_id,order_date,quantity,total_amount,status,shipping_state
ORD1043,CUST-109,PROD-033,2026-08-15,1,55.00,Shipped,TX
ORD1044,CUST-724,PROD-004,2026-08-16,3,450.00,Delivered,CA
ORD1045,CUST-352,PROD-028,2026-08-16,1,14.50,Delivered,NY
ORD1046,CUST-881,PROD-042,2026-08-16,2,31.00,Delivered,FL
ORD1047,CUST-513,PROD-017,2026-08-17,1,75.00,Cancelled,IL
ORD1048,CUST-204,PROD-009,2026-08-17,2,109.98,Delivered,OH
ORD1049,CUST-690,PROD-036,2026-08-17,4,160.00,Shipped,PA
ORD1050,CUST-442,PROD-013,2026-08-18,1,24.99,Delivered,GA
ORD1051,CUST-115,PROD-027,2026-08-18,3,119.97,Delivered,NC
ORD1052,CUST-903,PROD-002,2026-08-18,1,14.95,Delivered,MI
ORD1053,CUST-331,PROD-045,2026-08-19,2,80.00,Processing,VA
ORD1054,CUST-554,PROD-016,2026-08-19,1,95.00,Delivered,NJ
ORD1055,CUST-772,PROD-031,2026-08-19,2,170.00,Delivered,AZ
ORD1056,CUST-825,PROD-022,2026-08-20,1,19.95,Shipped,WA
ORD1057,CUST-612,PROD-005,2026-08-20,1,225.00,Delivered,MA
ORD1058,CUST-401,PROD-040,2026-08-20,3,45.00,Delivered,CO
ORD1059,CUST-295,PROD-014,2026-08-21,1,55.00,Delivered,TN
ORD1060,CUST-134,PROD-029,2026-08-21,2,70.00,Delivered,MD
ORD1061,CUST-702,PROD-008,2026-08-21,1,24.95,Cancelled,MO
ORD1062,CUST-941,PROD-043,2026-08-22,4,116.00,Shipped,WI
ORD1063,CUST-489,PROD-024,2026-08-22,1,18.00,Delivered,MN
ORD1064,CUST-633,PROD-011,2026-08-22,2,30.00,Delivered,IN
ORD1065,CUST-724,PROD-039,2026-08-23,1,65.00,Delivered,CA
ORD1066,CUST-109,PROD-007,2026-08-23,3,179.97,Processing,TX
ORD1067,CUST-352,PROD-046,2026-08-23,1,39.99,Delivered,NY
ORD1068,CUST-881,PROD-018,2026-08-24,2,44.00,Delivered,FL
ORD1069,CUST-513,PROD-034,2026-08-24,1,110.00,Shipped,IL
ORD1070,CUST-204,PROD-003,2026-08-24,2,118.00,Delivered,OH
ORD1071,CUST-690,PROD-021,2026-08-25,1,120.00,Delivered,PA
ORD1072,CUST-442,PROD-015,2026-08-25,3,119.97,Delivered,GA
ORD1073,CUST-115,PROD-047,2026-08-25,1,135.00,Delivered,NC
ORD1074,CUST-903,PROD-012,2026-08-26,2,34.00,Shipped,MI
ORD1075,CUST-331,PROD-001,2026-08-26,1,9.99,Delivered,VA
